Time 0	sarc.Sarc Const	Mark Time	Marks	
0.6801	1.7250	164.9747	Pacer[TTL]	
0.6841	1.7250	164.9757	Pacer[TTL]	
0.6881	1.7250	166.8917	Pacer[TTL]	
0.6921	1.7250	166.8927	Pacer[TTL]	
0.6961	1.7250	168.8097	Pacer[TTL]	
0.7001	1.7250	168.8107	Pacer[TTL]	
0.7041	1.7250	170.7277	Pacer[TTL]	
0.7081	1.7250	170.7287	Pacer[TTL]	
0.7121	1.7250	172.6457	Pacer[TTL]	
0.7161	1.7250	172.6467	Pacer[TTL]	
0.7201	1.7250	174.5627	Pacer[TTL]	
0.7241	1.7250	174.5637	Pacer[TTL]	
0.7281	1.7250	176.4807	Pacer[TTL]	
0.7321	1.7250	176.4817	Pacer[TTL]	
0.7361	1.7250	178.3987	Pacer[TTL]	
0.7401	1.7250	178.3997	Pacer[TTL]	
0.7441	1.7250	180.3167	Pacer[TTL]	
0.7481	1.7250	180.3177	Pacer[TTL]	
0.7521	1.7250	182.2337	Pacer[TTL]	
0.7561	1.7250	182.2357	Pacer[TTL]	
0.7601	1.7250	184.1517	Pacer[TTL]	
0.7641	1.7250	184.1527	Pacer[TTL]	
0.7681	1.7250	186.0697	Pacer[TTL]	
0.7721	1.7250	186.0707	Pacer[TTL]	
0.7761	1.7250	187.9877	Pacer[TTL]	
0.7801	1.7250	187.9887	Pacer[TTL]	
0.7841	1.7250	189.9057	Pacer[TTL]	
0.7881	1.7250	189.9067	Pacer[TTL]	
0.7921	1.7250	191.8227	Pacer[TTL]	
0.7961	1.7250	191.8237	Pacer[TTL]	
0.8001	1.7250	193.7407	Pacer[TTL]	
0.8041	1.7250	193.7417	Pacer[TTL]	
0.8081	1.7250	195.6587	Pacer[TTL]	
0.8121	1.7260	195.6597	Pacer[TTL]	
0.8161	1.7250	197.5767	Pacer[TTL]	
0.8201	1.7250	197.5777	Pacer[TTL]	
0.8241	1.7250	199.4937	Pacer[TTL]	
0.8281	1.7250	199.4947	Pacer[TTL]	
0.8321	1.7250	201.4117	Pacer[TTL]	
0.8361	1.7250	201.4127	Pacer[TTL]	
0.8401	1.7250	203.3297	Pacer[TTL]	
0.8441	1.7260	203.3307	Pacer[TTL]	
0.8481	1.7250	205.2477	Pacer[TTL]	
0.8521	1.7250	205.2487	Pacer[TTL]	
0.8561	1.7250	207.1647	Pacer[TTL]	
0.8601	1.7250	207.1657	Pacer[TTL]	
0.8641	1.7250	209.0827	Pacer[TTL]	
0.8681	1.7250	209.0837	Pacer[TTL]	
0.8721	1.7250	211.0007	Pacer[TTL]	
0.8761	1.7250	211.0017	Pacer[TTL]	
0.8801	1.7250	212.9187	Pacer[TTL]	
0.8841	1.7250	212.9197	Pacer[TTL]	
0.8881	1.7250	214.8357	Pacer[TTL]	
0.8921	1.7260	214.8377	Pacer[TTL]	
0.8961	1.7250	216.7537	Pacer[TTL]	
0.9001	1.7250	216.7547	Pacer[TTL]	
0.9041	1.7260	218.6717	Pacer[TTL]	
0.9081	1.7250	218.6727	Pacer[TTL]	
0.9121	1.7260	220.5897	Pacer[TTL]	
0.9161	1.7250	220.5907	Pacer[TTL]	
0.9201	1.7250	222.5077	Pacer[TTL]	
0.9241	1.7250	222.5087	Pacer[TTL]	
0.9281	1.7250	224.4247	Pacer[TTL]	
0.9321	1.7250	224.4257	Pacer[TTL]	
0.9361	1.7250	226.3427	Pacer[TTL]	
0.9401	1.7250	226.3437	Pacer[TTL]	
0.9441	1.7260	228.2607	Pacer[TTL]	
0.9481	1.7260	228.2617	Pacer[TTL]	
0.9521	1.7250	230.1787	Pacer[TTL]	
0.9561	1.7250	230.1797	Pacer[TTL]	
0.9601	1.7250	232.0957	Pacer[TTL]	
0.9641	1.7260	232.0967	Pacer[TTL]	
0.9681	1.7260	234.0137	Pacer[TTL]	
0.9721	1.7260	234.0147	Pacer[TTL]	
0.9761	1.7250	235.9317	Pacer[TTL]	
0.9801	1.7260	235.9327	Pacer[TTL]	
0.9841	1.7260	237.8497	Pacer[TTL]	
0.9881	1.7250	237.8507	Pacer[TTL]	
0.9921	1.7250	239.7667	Pacer[TTL]	
0.9961	1.7260	239.7687	Pacer[TTL]	
1.0001	1.7260	241.6847	Pacer[TTL]	
1.0041	1.7260	241.6857	Pacer[TTL]	
1.0081	1.7260	243.6027	Pacer[TTL]	
1.0121	1.7250	243.6037	Pacer[TTL]	
1.0161	1.7250	245.5207	Pacer[TTL]	
1.0201	1.7250	245.5217	Pacer[TTL]	
1.0241	1.7260	247.4377	Pacer[TTL]	
1.0281	1.7260	247.4397	Pacer[TTL]	
1.0321	1.7260	249.3557	Pacer[TTL]	
1.0361	1.7260	249.3567	Pacer[TTL]	
1.0401	1.7250	251.2737	Pacer[TTL]	
1.0441	1.7250	251.2747	Pacer[TTL]	
1.0481	1.7260	253.1917	Pacer[TTL]	
1.0521	1.7260	253.1927	Pacer[TTL]	
1.0561	1.7260	255.1097	Pacer[TTL]	
1.0601	1.7250	255.1107	Pacer[TTL]	
1.0641	1.7260	257.0267	Pacer[TTL]	
1.0681	1.7260	257.0277	Pacer[TTL]	
1.0721	1.7250	258.9447	Pacer[TTL]	
1.0761	1.7250	258.9457	Pacer[TTL]	
1.0801	1.7260	260.8627	Pacer[TTL]	
1.0841	1.7260	260.8637	Pacer[TTL]	
1.0881	1.7250	262.7807	Pacer[TTL]	
1.0921	1.7260	262.7817	Pacer[TTL]	
1.0961	1.7260	264.6977	Pacer[TTL]	
1.1001	1.7260	264.6997	Pacer[TTL]	
1.1041	1.7260	266.6157	Pacer[TTL]	
1.1081	1.7260	266.6167	Pacer[TTL]	
1.1121	1.7250	268.5337	Pacer[TTL]	
1.1161	1.7260	268.5347	Pacer[TTL]	
1.1201	1.7270	270.4517	Pacer[TTL]	
1.1241	1.7260	270.4527	Pacer[TTL]	
1.1281	1.7260	272.3687	Pacer[TTL]	
1.1321	1.7260	272.3707	Pacer[TTL]	
1.1361	1.7260	274.2867	Pacer[TTL]	
1.1401	1.7250	274.2877	Pacer[TTL]	
1.1441	1.7250	276.2047	Pacer[TTL]	
1.1481	1.7250	276.2057	Pacer[TTL]	
1.1521	1.7260	278.1227	Pacer[TTL]	
1.1561	1.7260	278.1237	Pacer[TTL]	
1.1601	1.7260	280.0407	Pacer[TTL]	
1.1641	1.7260	280.0417	Pacer[TTL]	
1.1681	1.7260	281.9577	Pacer[TTL]	
1.1721	1.7250	281.9587	Pacer[TTL]	
1.1761	1.7260	283.8757	Pacer[TTL]	
1.1801	1.7260	283.8767	Pacer[TTL]	
1.1841	1.7260	285.7937	Pacer[TTL]	
1.1881	1.7260	285.7947	Pacer[TTL]	
1.1921	1.7260	287.7117	Pacer[TTL]	
1.1961	1.7260	287.7127	Pacer[TTL]	
1.2001	1.7250	289.6287	Pacer[TTL]	
1.2041	1.7260	289.6297	Pacer[TTL]	
1.2081	1.7260	291.5467	Pacer[TTL]	
1.2121	1.7260	291.5477	Pacer[TTL]	
1.2161	1.7260	293.4647	Pacer[TTL]	
1.2201	1.7260	293.4657	Pacer[TTL]	
1.2241	1.7260	295.3827	Pacer[TTL]	
1.2281	1.7260	295.3837	Pacer[TTL]	
1.2321	1.7260	297.2997	Pacer[TTL]	
1.2361	1.7260	297.3017	Pacer[TTL]	
1.2401	1.7270	299.2177	Pacer[TTL]	
1.2441	1.7260	299.2187	Pacer[TTL]	
1.2481	1.7260	301.1357	Pacer[TTL]	
1.2521	1.7270	301.1367	Pacer[TTL]	
1.2561	1.7260	303.0537	Pacer[TTL]	
1.2601	1.7260	303.0547	Pacer[TTL]	
1.2641	1.7270	304.9717	Pacer[TTL]	
1.2681	1.7260	304.9727	Pacer[TTL]	
1.2721	1.7260	306.8887	Pacer[TTL]	
1.2761	1.7260	306.8897	Pacer[TTL]	
1.2801	1.7260	308.8067	Pacer[TTL]	
1.2841	1.7260	308.8077	Pacer[TTL]	
1.2881	1.7260	310.7247	Pacer[TTL]	
1.2921	1.7260	310.7257	Pacer[TTL]	
1.2961	1.7260	312.6427	Pacer[TTL]	
1.3001	1.7260	312.6437	Pacer[TTL]	
1.3041	1.7260	314.5597	Pacer[TTL]	
1.3081	1.7260	314.5607	Pacer[TTL]	
1.3121	1.7260	316.4777	Pacer[TTL]	
1.3161	1.7260	316.4787	Pacer[TTL]	
1.3201	1.7260	318.3957	Pacer[TTL]	
1.3241	1.7270	318.3967	Pacer[TTL]	
1.3281	1.7250	320.3137	Pacer[TTL]	
1.3321	1.7260	320.3147	Pacer[TTL]	
1.3361	1.7260	322.2307	Pacer[TTL]	
1.3401	1.7260	322.2327	Pacer[TTL]	
1.3441	1.7260	324.1487	Pacer[TTL]	
1.3481	1.7260	324.1497	Pacer[TTL]	
1.3521	1.7270	326.0667	Pacer[TTL]	
1.3561	1.7270	326.0677	Pacer[TTL]	
1.3601	1.7260	327.9847	Pacer[TTL]	
1.3641	1.7250	327.9857	Pacer[TTL]	
1.3681	1.7260	329.9027	Pacer[TTL]	
1.3721	1.7270	329.9037	Pacer[TTL]	
